label,px0,px1,px2,px3,px4,px5,px6,px7,px8,px9,px10,px11,px12,px13,px14,px15,px16,px17,px18,px19,px20,px21,px22,px23,px24,px25,px26,px27,px28,px29,px30,px31,px32,px33,px34,px35,px36,px37,px38,px39,px40,px41,px42,px43,px44,px45,px46,px47,px48,px49,px50,px51,px52,px53,px54,px55,px56,px57,px58,px59,px60,px61,px62,px63,px64,px65,px66,px67,px68,px69,px70,px71,px72,px73,px74,px75,px76,px77,px78,px79,px80,px81,px82,px83,px84,px85,px86,px87,px88,px89,px90,px91,px92,px93,px94,px95,px96,px97,px98,px99,px100,px101,px102,px103,px104,px105,px106,px107,px108,px109,px110,px111,px112,px113,px114,px115,px116,px117,px118,px119,px120,px121,px122,px123,px124,px125,px126,px127,px128,px129,px130,px131,px132,px133,px134,px135,px136,px137,px138,px139,px140,px141,px142,px143,px144,px145,px146,px147,px148,px149,px150,px151,px152,px153,px154,px155,px156,px157,px158,px159,px160,px161,px162,px163,px164,px165,px166,px167,px168,px169,px170,px171,px172,px173,px174,px175,px176,px177,px178,px179,px180,px181,px182,px183,px184,px185,px186,px187,px188,px189,px190,px191
2,0.0304,0.0603,0.1162,0.1786,0.1268,-0.0014,0.2158,0.0603,0.2379,0.2445,-0.0079,0.1247,0.24,0.0655,0.1142,0.0442,-0.0414,0.0114,-0.0128,0.0353,0.1388,0.1189,0.2345,0.1556,0.0587,0.2348,0.1402,0.113,0.2088,0.151,0.0581,0.1314,0.0401,0.2408,0.0233,0.2419,-0.0307,-0.047,0.1159,0.0117,0.1022,-0.0146,0.2011,0.1507,0.1553,0.228,0.2476,0.1535,0.164,-0.0495,-0.0352,0.078,0.2407,0.0439,0.1205,-0.0473,0.0747,0.2208,0.1269,0.1973,-0.0461,0.0108,0.0038,0.1997,-0.0195,0.2296,0.0302,0.2141,0.1047,0.047,0.2399,0.0715,0.1592,-0.0298,0.1991,0.2444,-0.0168,0.1739,0.0311,-0.0056,0.0593,0.1485,0.2361,0.2482,0.2481,0.137,0.146,-0.0017,0.1678,0.1154,0.0577,0.22,0.0265,-0.0075,-0.0026,-0.0052,0.1266,0.1903,-0.002,0.1008,0.1223,0.1181,0.0738,0.1131,-0.0455,-0.0326,0.0768,0.021,0.177,0.0226,0.1972,0.0224,-0.0222,0.0932,0.0663,0.0507,0.1795,0.0167,0.151,0.2004,0.0858,0.1009,0.2271,0.1312,0.0043,-0.0291,-0.0254,0.0495,0.6767,0.8446,0.7771,0.7426,0.8036,0.931,0.7233,0.6964,0.7416,0.7473,0.923,0.8619,0.7787,0.6998,0.6636,0.6867,0.9042,0.8444,0.697,0.8376,0.6675,0.8021,0.7506,0.6807,0.8727,0.865,0.8032,0.7004,0.8509,0.78,0.8484,0.6774,0.9208,0.6511,0.7168,0.7695,0.7095,0.6763,0.8562,0.9482,0.7505,0.7299,0.8512,0.7168,0.7702,0.8565,0.7792,0.6967,0.6711,0.8129,0.9472,0.926,0.68,0.8007,0.7965,0.7082,0.8509,0.7987,0.8926,0.7376,0.9302,0.8944,0.7921,0.6924
1,0.0741,0.2049,0.1839,0.1259,0.0213,0.0415,0.0974,0.0685,0.1437,0.1016,0.0469,0.132,0.249,0.0108,0.0507,-0.0464,-0.0219,-0.0334,0.0769,0.201,0.1593,0.2398,0.2011,0.1258,0.1241,-0.0462,0.0651,0.0285,0.1362,-0.0304,0.1127,0.0627,0.0976,0.0713,-0.0193,0.1694,0.1901,0.1295,-0.0153,0.1297,0.2113,0.246,0.1776,-0.0363,0.2135,0.1495,0.033,0.226,0.1978,0.2185,0.0243,0.1231,0.0637,0.0388,0.1784,0.135,0.0495,0.1129,0.2285,0.12,0.2241,0.1198,0.2477,-0.0413,0.788,0.8157,0.868,0.9406,0.837,0.7934,0.8403,0.81,0.8615,0.9341,0.6542,0.7461,0.9129,0.6679,0.8871,0.6593,0.8445,0.8901,0.7214,0.7644,0.7179,0.8614,0.8086,0.8317,0.7476,0.826,0.9363,0.8838,0.9355,0.7242,0.8048,0.7657,0.7538,0.891,0.7025,0.8176,0.8822,0.9307,0.6556,0.7312,0.7979,0.9309,0.699,0.9022,0.7692,0.8143,0.9284,0.6693,0.7489,0.6967,0.6901,0.7411,0.8602,0.8241,0.6865,0.8904,0.8022,0.6929,0.8961,0.8962,0.715,0.9319,0.8931,0.7187,-0.0497,0.2102,0.1978,-0.0207,0.1799,0.1819,0.1401,0.1998,0.2454,0.0483,0.2002,0.2263,0.0441,0.155,0.1553,0.2047,0.1201,0.0327,0.0255,0.1128,-0.0094,0.2079,0.2168,0.0227,0.1592,0.152,-0.0134,0.1835,0.1799,0.0419,-0.0205,0.0345,0.1815,0.09,0.1946,-0.0021,-0.018,0.0547,0.214,-0.0014,-0.028,0.1759,-0.0226,0.1503,-0.025,0.0241,0.1491,0.2121,0.0728,0.0849,-0.0407,0.0522,0.0226,0.1866,0.1643,0.1853,0.1095,0.1598,-0.0118,0.0655,0.0379,0.0347,0.1718,0.0142
2,0.1589,-0.0061,0.24,0.146,0.1145,-0.0345,0.035,0.077,0.2442,-0.0065,0.1275,-0.0267,0.2414,0.1742,0.1937,0.1748,0.0039,0.0224,-0.0382,0.1154,-0.0257,0.0065,0.0022,0.226,0.1869,0.0357,0.2413,-0.0022,-0.0078,0.0644,0.1917,-0.0204,0.1867,0.1132,0.1895,0.051,-0.0374,-0.0203,0.167,0.1021,0.1791,0.0096,0.0338,0.0135,0.2052,0.1609,-0.0035,0.1677,-0.0384,0.0899,0.0271,0.1794,0.1656,0.1551,0.0092,-0.0371,0.142,0.1584,-0.0472,0.2015,0.2192,0.0584,0.1057,0.1453,0.2277,0.1449,0.1047,0.1807,0.097,-0.0401,0.1142,0.0742,0.0505,0.0683,0.0164,0.0436,0.1741,0.2156,0.0869,0.2037,-0.0124,0.1047,0.1733,0.1843,0.0662,0.0004,0.2382,0.1328,0.1459,0.0538,-0.0161,0.1211,0.0714,0.217,0.149,0.1767,0.1209,0.1759,-0.0098,0.2489,0.1242,0.1292,0.0069,-0.0227,0.1616,0.1679,0.15,0.0264,0.0961,0.1804,0.1422,0.2229,-0.0232,0.1825,-0.046,0.1375,0.1103,-0.0278,0.0757,0.1504,0.2102,-0.0269,0.1029,0.1886,-0.0149,0.2178,0.2316,0.0528,0.7127,0.6936,0.7159,0.7757,0.8621,0.9311,0.8176,0.9359,0.7781,0.8473,0.65,0.7756,0.6568,0.6897,0.8926,0.6843,0.7399,0.8078,0.8076,0.6591,0.6831,0.853,0.7714,0.6777,0.7936,0.7617,0.9499,0.6644,0.7041,0.6724,0.8154,0.9382,0.8833,0.6836,0.8119,0.7574,0.9432,0.8621,0.8312,0.727,0.781,0.808,0.7636,0.8193,0.677,0.7762,0.9461,0.7697,0.8018,0.8761,0.8937,0.8709,0.7644,0.8635,0.7099,0.8351,0.6548,0.7078,0.7025,0.7556,0.8714,0.6562,0.9129,0.6775
1,0.0479,0.1487,0.1629,0.088,0.0327,0.0761,0.1644,0.0185,-0.0026,0.0952,0.1474,-0.03,0.0314,0.2415,0.0301,0.1816,0.0417,-0.0243,0.0959,0.2109,0.1832,-0.0356,0.161,0.1363,0.0947,0.1494,0.1065,0.0049,0.1586,-0.0113,0.043,0.2055,0.1205,0.1033,0.163,0.0977,0.0652,0.1157,-0.0433,0.0555,-0.0382,0.2487,0.2224,0.1461,-0.0025,0.2065,0.0349,0.1914,0.1453,0.1315,0.1724,0.0302,0.2003,0.1128,0.1771,0.2019,0.0264,0.0732,0.0585,-0.0269,0.2127,0.1557,0.097,0.1136,0.9139,0.6709,0.7574,0.8559,0.8104,0.7992,0.7276,0.7169,0.8511,0.7523,0.9312,0.9206,0.9411,0.733,0.8043,0.6813,0.7578,0.6724,0.8005,0.9371,0.8787,0.7591,0.7329,0.9294,0.6658,0.9035,0.9068,0.6706,0.9353,0.8438,0.7667,0.7776,0.8326,0.8081,0.9104,0.9186,0.748,0.6526,0.8836,0.8443,0.8465,0.6723,0.6728,0.9196,0.7592,0.7918,0.942,0.7085,0.8405,0.6685,0.8183,0.8716,0.6972,0.8779,0.9406,0.8978,0.8872,0.9342,0.865,0.8143,0.8973,0.8919,0.8387,0.8507,0.0035,0.0515,0.0476,0.2077,0.1844,0.0372,0.2482,-0.0323,-0.0315,0.0483,-0.0268,0.235,0.0576,0.0665,0.2065,0.1099,0.1391,0.082,0.088,0.2371,0.0332,0.1076,0.0936,-0.0077,-0.0061,0.102,0.1896,0.0796,-0.0323,0.2305,-0.0087,0.2153,-0.0364,0.1449,-0.0062,0.0281,0.0765,0.1766,0.0806,0.0755,0.0707,0.1062,0.0342,0.2359,0.0071,-0.0102,0.1146,0.0554,0.1664,-0.0382,0.153,0.0593,0.2282,0.04,0.0799,0.0452,0.11,0.0343,0.1509,0.0735,0.1624,0.0375,0.087,0.1171
2,0.1832,0.0376,0.2088,0.1859,0.1534,0.1946,0.081,0.152,0.2358,0.0067,-0.0198,0.0736,0.1029,-0.0053,0.0164,0.21,0.0664,-0.0053,0.0049,0.1232,0.007,0.0925,0.1113,0.0819,0.1011,0.201,-0.045,0.229,0.0098,-0.0385,0.1803,0.121,0.1114,0.0153,0.1843,0.0419,0.1681,0.0185,0.1219,0.1445,0.0615,0.094,-0.0304,0.143,0.1574,-0.004,0.1152,0.1699,-0.0197,0.2017,0.2111,-0.0349,0.0245,-0.0248,0.0258,-0.0241,0.0968,0.0251,0.04,0.0885,0.0615,0.1865,0.1668,-0.0158,0.017,-0.0475,0.0488,-0.0176,0.1591,0.1841,0.2487,0.0127,-0.039,0.1771,0.0735,0.2293,0.0677,0.0437,-0.0282,0.2344,0.1036,0.0822,0.0811,0.1806,0.1992,0.0928,0.0034,0.0719,0.2174,0.0723,0.1483,0.1179,0.0884,0.1224,0.0235,0.1172,0.2094,-0.026,0.0607,0.2142,0.2435,-0.046,0.1381,0.1396,0.2029,0.091,-0.0107,0.0401,0.1638,0.1685,0.0114,0.1428,0.147,0.1473,-0.0434,0.0825,0.0475,0.1292,0.051,-0.0115,0.1511,0.0361,0.1872,0.0417,0.1138,0.1924,-0.0153,0.1693,0.6704,0.9309,0.6575,0.8672,0.7606,0.7039,0.7685,0.8004,0.7745,0.6867,0.8068,0.74,0.9402,0.7649,0.7806,0.7184,0.9406,0.7465,0.8439,0.8998,0.768,0.8766,0.7336,0.6829,0.6627,0.7847,0.9122,0.7109,0.7821,0.8788,0.7329,0.6958,0.8058,0.7776,0.9315,0.9192,0.7214,0.8183,0.7749,0.6602,0.7833,0.9247,0.7408,0.8258,0.8631,0.6689,0.9272,0.6828,0.7405,0.8648,0.6558,0.7626,0.688,0.792,0.6547,0.6953,0.7167,0.6744,0.6772,0.7083,0.8053,0.6911,0.8963,0.7751
2,0.0885,0.0093,-0.0141,0.102,0.1064,0.0589,0.1649,0.1088,0.1826,-0.0181,-0.029,0.0661,0.0951,0.0258,0.1506,0.0166,0.0455,0.0931,0.1637,0.1811,0.0615,0.0841,0.2283,0.2302,0.1356,-0.0185,0.0867,0.141,0.0336,-0.0388,0.2443,0.2229,-0.0113,0.0898,0.1358,0.04,-0.0294,0.1752,0.1812,0.0812,-0.0243,0.0682,-0.0218,0.2391,-0.0346,0.0364,0.1804,-0.0095,-0.018,-0.0288,-0.0008,0.1096,0.1999,0.0007,0.0021,0.1795,0.0777,0.0514,-0.013,0.0228,0.2415,-0.0149,0.0279,0.1722,0.2175,0.2213,0.0918,0.2369,0.1312,0.0366,0.0896,0.1648,0.1702,-0.0111,0.0081,0.2375,-0.0179,0.194,0.0517,0.0244,0.0265,0.0908,0.2472,-0.0054,0.2064,0.0464,0.0018,0.1734,0.0525,0.0063,0.0755,0.1965,0.2089,0.1225,-0.0469,0.179,0.132,0.2198,0.2356,0.0481,0.2045,0.1957,0.0298,0.0598,0.0624,0.0559,0.0635,-0.0169,0.0181,0.2229,0.0732,0.1407,0.2162,0.1767,0.0233,0.2259,0.1913,0.2472,0.1684,0.1765,0.1939,0.026,0.1468,0.0642,0.2019,-0.0099,0.1117,0.0509,0.8962,0.7536,0.9032,0.9044,0.9137,0.6917,0.9315,0.8733,0.8531,0.8457,0.6644,0.911,0.8143,0.7867,0.7518,0.8849,0.8847,0.911,0.7142,0.7521,0.7248,0.6801,0.7481,0.6578,0.889,0.7181,0.6712,0.6703,0.8723,0.7095,0.7886,0.7706,0.8907,0.9362,0.743,0.8397,0.9184,0.7911,0.9199,0.8701,0.7435,0.9122,0.822,0.6818,0.8262,0.8988,0.8056,0.7952,0.7749,0.9141,0.8497,0.7124,0.7587,0.759,0.9376,0.8588,0.6875,0.9243,0.6605,0.8273,0.7797,0.8652,0.7788,0.6777
2,-0.024,0.2454,-0.037,0.1337,0.055,0.006,0.0808,0.2292,0.0243,-0.0006,0.1388,0.1471,0.1032,0.0039,0.2123,-0.0167,0.0022,0.0225,0.1041,0.0929,0.1161,0.1681,0.2182,0.0905,-0.0374,0.1993,-0.0445,0.0454,-0.0071,0.1307,0.1846,-0.0114,0.0383,0.2053,0.1567,-0.0175,0.1559,0.1882,0.0726,-0.0034,0.1477,0.0458,-0.0099,-0.0006,0.0707,-0.0119,0.0655,0.1154,0.1156,0.0711,0.19,-0.0236,0.0489,0.23,0.2093,0.2262,0.1796,0.1107,0.1863,0.1218,-0.0147,0.0266,-0.0208,0.2125,0.0466,0.0722,0.1115,-0.0197,0.1617,0.1887,0.1888,0.2143,0.0452,-0.0064,0.1785,0.158,0.0615,0.053,-0.0039,0.1996,0.0882,0.1936,0.0519,0.0464,0.104,0.1737,0.2148,0.056,0.158,0.0711,0.2084,0.178,0.1166,0.0588,0.0321,0.2155,0.1903,0.0415,-0.0246,0.0085,0.2393,-0.0382,0.193,0.1087,0.1162,0.1119,0.0731,0.1172,-0.023,0.226,-0.0191,-0.0084,0.1518,0.1422,0.192,0.1578,0.2292,-0.0345,-0.0468,0.0211,0.1837,-0.0042,0.1094,0.1811,-0.0031,0.1082,0.2202,0.1742,0.7694,0.7937,0.7334,0.9382,0.8848,0.8541,0.7413,0.8695,0.796,0.8895,0.7592,0.9145,0.8554,0.7852,0.8188,0.8915,0.8087,0.9381,0.6522,0.9192,0.8642,0.7968,0.905,0.6946,0.7513,0.8642,0.897,0.7619,0.9482,0.8446,0.6636,0.6869,0.6729,0.821,0.7466,0.7283,0.7843,0.6735,0.9227,0.9015,0.8176,0.7833,0.7425,0.8308,0.754,0.9426,0.9368,0.868,0.8978,0.6726,0.6871,0.7537,0.6878,0.7768,0.9458,0.9003,0.9376,0.7165,0.7165,0.657,0.7321,0.6669,0.8084,0.7402
1,0.1822,0.16,0.2057,0.1539,0.1425,0.0862,0.0439,0.1385,-0.0206,0.0759,0.1847,0.1639,0.1389,0.025,0.0771,0.0866,0.1365,0.0728,0.1526,0.2291,0.0049,0.1463,0.1835,0.0666,0.097,0.2424,-0.0386,0.113,-0.0017,0.1845,0.2322,0.1058,-0.0197,0.1224,0.1123,0.1652,0.1037,0.1418,0.1987,0.1065,0.0731,0.2344,0.013,0.1553,0.0677,0.1788,-0.0133,0.2453,0.0566,-0.033,0.0323,0.0699,-0.046,0.0756,0.0762,0.1595,0.0556,0.0295,0.0173,0.1724,0.232,0.1081,0.0157,0.1904,0.7676,0.7136,0.6888,0.883,0.8929,0.8403,0.7907,0.8186,0.7178,0.9392,0.7559,0.8416,0.8956,0.8949,0.7904,0.7383,0.8145,0.6875,0.9001,0.7564,0.9052,0.7302,0.7628,0.7261,0.7778,0.7058,0.6508,0.8665,0.7344,0.7235,0.7405,0.7939,0.7785,0.8412,0.8478,0.7587,0.9286,0.9063,0.6671,0.8984,0.9217,0.8852,0.6921,0.8994,0.8399,0.6545,0.6534,0.9355,0.8468,0.725,0.6805,0.6928,0.7201,0.8829,0.7539,0.6958,0.9212,0.8875,0.7004,0.9173,0.8325,0.8844,0.8505,0.9182,0.1864,0.2016,0.0092,0.1578,0.1092,0.1726,0.0816,0.2148,0.1165,0.0293,0.0203,-0.0082,0.0979,-0.0325,0.0901,-0.0067,0.0974,0.0995,0.1119,0.2089,-0.048,0.2022,0.0904,0.1188,0.1496,0.2022,0.0625,0.0756,0.2382,-0.0274,0.1411,0.1408,-0.0414,0.1329,0.1548,0.2294,0.0491,0.2445,0.1032,0.0954,0.2193,-0.0398,0.1655,0.1376,0.0516,0.2085,0.0598,0.0924,0.1077,0.1812,0.0132,0.0806,0.0767,0.1162,0.198,0.0379,0.1983,0.0711,0.1011,0.0315,0.1019,0.2425,0.1464,0.1876
2,0.1656,0.1457,0.0787,-0.0242,-0.0163,-0.006,0.0052,0.005,0.1486,0.0523,0.2224,0.0202,0.0237,0.0049,-0.0067,0.1546,0.1235,0.0254,0.1931,0.1527,0.0786,0.1323,0.147,0.0823,-0.0225,0.0594,0.2338,0.062,0.1417,-0.0235,0.1822,0.2093,0.0619,0.0616,0.1039,0.0257,0.013,-0.0114,0.1561,0.1028,0.2369,0.2387,0.2123,0.2334,0.2015,-0.0426,-0.0111,0.2428,0.2121,0.1347,0.1359,0.0809,0.0774,-0.0063,0.1144,0.0324,-0.0134,0.2111,0.1224,0.2128,0.0382,0.123,0.033,0.1992,0.0127,0.1443,0.1165,0.0477,-0.026,0.096,0.1069,0.1954,0.0109,0.0056,0.0416,0.1907,0.0196,0.1402,-0.0404,-0.0254,0.1625,0.0991,-0.0162,0.0919,0.2322,0.0673,0.1171,0.0761,0.1016,-0.037,0.2149,0.1239,0.0541,0.0353,0.0061,0.2301,0.2023,0.0635,0.1309,0.1157,0.0101,-0.04,0.1706,-0.0012,0.1195,-0.0449,-0.0434,-0.0007,0.1461,0.1338,0.2473,0.148,0.1066,-0.0461,0.2374,0.0966,0.2074,-0.0374,0.2005,0.0928,0.015,0.0718,-0.0275,0.1243,0.0157,0.1605,0.0021,0.157,0.8353,0.8635,0.9351,0.7386,0.8549,0.7692,0.9182,0.8976,0.8791,0.83,0.7285,0.9224,0.9406,0.935,0.7515,0.8966,0.8537,0.9019,0.8906,0.7864,0.7686,0.8887,0.8464,0.8119,0.9121,0.6595,0.654,0.7894,0.6792,0.9027,0.6764,0.9146,0.7175,0.6902,0.8761,0.8533,0.7731,0.8289,0.8159,0.9346,0.8023,0.8119,0.7886,0.7735,0.857,0.6835,0.8577,0.9286,0.8783,0.8129,0.756,0.6793,0.6777,0.8118,0.914,0.9098,0.705,0.8748,0.8921,0.794,0.9075,0.706,0.7507,0.8043
0,0.868,0.7846,0.7406,0.9101,0.7676,0.7759,0.7171,0.7949,0.8619,0.7585,0.8486,0.798,0.6536,0.9387,0.7364,0.8137,0.9377,0.712,0.6692,0.7116,0.6959,0.9054,0.8052,0.6626,0.7315,0.8033,0.7023,0.7419,0.9214,0.7834,0.72,0.8293,0.6838,0.806,0.8444,0.6766,0.8146,0.7428,0.8734,0.8348,0.9228,0.8322,0.7049,0.7057,0.8611,0.8931,0.6688,0.7751,0.7349,0.7902,0.9117,0.8179,0.8733,0.8795,0.7333,0.8356,0.7625,0.7923,0.8092,0.8501,0.7005,0.9015,0.6983,0.7439,0.2048,0.2456,0.06,0.2356,-0.0388,0.2366,0.0103,-0.0395,0.1786,-0.0016,0.1756,-0.0479,-0.0128,0.0573,-0.0247,0.0913,0.0538,0.1716,0.0979,0.2396,0.2031,0.0013,0.2252,0.2184,0.1195,0.1081,0.001,0.0463,0.016,0.0088,0.1342,0.0473,0.1803,0.122,0.1982,-0.0238,0.2041,0.1023,0.1396,0.0215,0.1588,0.0718,0.1665,0.1253,-0.008,0.0402,0.1756,-0.0452,0.1395,0.1136,0.1644,0.0487,0.0931,0.0931,0.1748,-0.0281,0.1031,0.0279,0.1268,0.0278,0.0119,0.0195,0.2184,0.0591,0.214,0.1706,0.0307,0.1162,-0.0474,0.2299,0.1393,-0.0162,0.1057,0.0985,0.1512,0.0368,0.2229,0.1368,-0.0282,0.1956,0.2154,0.0413,0.1634,0.2081,0.2146,-0.0289,0.2011,0.0245,0.1906,0.156,0.0897,0.2206,0.191,0.2483,0.2376,0.122,0.1705,0.1511,0.0701,0.0996,0.1023,0.0147,0.0283,0.2034,0.2038,0.1592,0.1566,0.103,0.1219,0.1499,-0.0478,0.0831,0.2409,0.0117,0.0902,-0.0267,0.0265,0.1972,-0.0402,0.1896,0.1894,0.2104,0.0271,0.2295,0.0615,0.0851,0.2352,0.1134
0,0.773,0.9257,0.9335,0.8381,0.7172,0.7256,0.7287,0.7801,0.7194,0.711,0.8778,0.8428,0.7395,0.9483,0.715,0.8209,0.697,0.9089,0.9108,0.7302,0.8755,0.8968,0.7348,0.7495,0.7957,0.9173,0.6985,0.8548,0.8293,0.7859,0.8238,0.9149,0.7129,0.9151,0.7581,0.8839,0.909,0.7047,0.9092,0.9484,0.7393,0.6573,0.6835,0.9423,0.6528,0.9235,0.6952,0.8708,0.6793,0.7006,0.8548,0.6771,0.7519,0.9256,0.8649,0.9146,0.9439,0.6599,0.7204,0.8876,0.8568,0.6614,0.8014,0.7195,0.0791,-0.0185,-0.044,0.2472,0.0449,0.2136,-0.0139,0.0962,-0.0093,0.0785,0.0037,0.1556,-0.0056,0.1715,0.1002,-0.0163,0.0561,0.0989,0.2256,0.0548,0.0145,0.2403,0.2149,0.1694,0.0319,0.0032,0.0294,-0.0293,-0.037,0.1026,0.0724,0.117,0.0588,-0.0468,0.1564,0.1459,0.1132,0.1146,0.1571,0.2447,0.2122,0.1653,0.0698,0.0455,0.0757,0.2419,0.0661,0.0656,0.073,-0.0071,0.2495,-0.0484,0.1323,0.2279,0.0264,0.1333,0.0631,0.0222,0.0095,-0.0152,0.2029,0.1852,0.2226,-0.0351,0.1583,0.0473,0.1439,0.1147,0.0447,0.2415,-0.0497,0.1739,0.206,0.103,0.1277,0.2484,0.0203,0.1389,0.173,0.0637,0.1637,0.0681,0.1079,0.1338,0.1532,0.0466,0.1387,0.1129,0.017,0.1338,0.0295,0.2226,0.092,0.1665,0.1066,0.093,0.0164,-0.0074,0.2282,0.1086,0.1072,0.1082,0.194,0.0216,0.0017,0.1966,0.0881,0.1422,0.1982,0.2182,0.2103,-0.037,0.0644,0.1996,0.1953,-0.0131,-0.0038,0.0254,-0.0192,0.057,0.191,0.1064,0.0858,-0.0236,0.0687,0.2491,0.1585,0.0848
