label,px0,px1,px2,px3,px4,px5,px6,px7
0,0.084,-0.285,-0.135,-0.166,0.142,0.106,0.235,-0.248
1,1.953,1.718,1.831,2.003,1.716,1.819,2.09,2.027
2,3.832,4.054,4.186,3.704,4.183,4.119,3.904,3.793
3,6.274,5.902,5.756,5.758,6.208,6.062,6.184,6.138
0,0.022,0.284,-0.073,0.031,0.198,0.071,0.217,0.046
1,2.123,1.727,1.837,1.874,1.748,1.84,1.761,1.867
2,4.081,3.919,3.922,3.826,3.86,4.262,4.089,4.065
3,5.803,6.137,5.798,5.928,6.294,6.084,6.034,6.111
0,0.206,0.166,-0.163,-0.281,-0.111,-0.139,-0.173,0.266
1,2.226,1.889,2.093,1.937,2.249,1.975,1.859,1.848
2,4.037,3.858,4.051,4.239,3.94,3.832,4.299,4.006
3,5.755,5.728,5.766,6.076,6.175,5.953,5.738,5.929
0,0.298,0.017,0.283,0.216,-0.293,0.132,0.109,0.022
1,1.86,2.085,1.767,1.961,1.972,2.272,2.226,1.858
2,4.0,3.807,4.248,4.222,3.879,4.083,4.065,3.792
3,6.158,6.024,6.167,6.018,5.7,5.894,5.712,6.257
0,0.227,0.199,-0.115,-0.265,0.227,0.268,-0.249,-0.008
1,1.742,2.156,2.16,1.777,1.985,2.03,1.859,2.223
2,3.954,3.827,4.024,4.138,3.821,3.887,4.297,4.09
3,5.963,6.011,5.773,5.835,5.903,6.053,5.838,5.832
0,-0.257,0.079,-0.163,0.243,0.216,-0.257,-0.157,0.101
1,1.829,1.779,2.261,2.043,1.984,2.171,2.184,1.814
2,3.758,3.959,3.954,3.98,4.137,4.104,4.29,3.759
3,5.942,5.904,6.217,5.849,5.814,5.969,5.953,5.867
0,-0.15,0.254,-0.034,0.217,0.03,-0.27,0.3,0.202
1,2.281,2.256,2.209,1.8,1.991,1.828,1.941,1.735
2,3.927,4.291,3.859,4.17,3.973,3.954,4.274,4.297
3,6.033,6.131,5.793,5.878,6.281,6.048,6.025,6.149
0,-0.266,0.051,0.002,0.212,-0.206,0.276,-0.252,-0.189
1,2.057,2.105,1.841,1.772,2.234,1.848,2.057,2.072
2,3.952,4.05,4.014,4.261,3.823,4.13,3.843,3.937
3,6.103,5.88,5.89,6.151,5.744,5.975,6.299,6.298
0,-0.256,-0.172,-0.141,0.26,0.229,0.228,-0.078,-0.205
1,2.2,2.122,2.067,2.292,2.092,1.705,2.19,1.88
2,4.098,4.263,3.781,3.769,3.764,4.032,3.863,4.063
3,6.131,5.822,6.081,5.858,5.993,6.243,6.208,5.755
0,-0.046,-0.134,-0.298,0.163,0.082,-0.143,0.145,0.031
1,1.957,1.706,1.745,2.23,2.242,2.027,2.201,2.05
2,3.789,3.776,3.885,4.239,4.178,4.216,4.239,3.826
3,5.85,5.762,6.168,6.23,5.944,6.072,5.793,6.258
