label,px0,px1,px2,px3,px4,px5,px6,px7
0,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5
1,100.0,100.5,101.0,101.5,102.0,102.5,103.0,103.5
2,200.0,200.5,201.0,201.5,202.0,202.5,203.0,203.5
3,300.0,300.5,301.0,301.5,302.0,302.5,303.0,303.5
0,400.0,400.5,401.0,401.5,402.0,402.5,403.0,403.5
1,500.0,500.5,501.0,501.5,502.0,502.5,503.0,503.5
2,600.0,600.5,601.0,601.5,602.0,602.5,603.0,603.5
3,700.0,700.5,701.0,701.5,702.0,702.5,703.0,703.5
0,800.0,800.5,801.0,801.5,802.0,802.5,803.0,803.5
1,900.0,900.5,901.0,901.5,902.0,902.5,903.0,903.5
2,1000.0,1000.5,1001.0,1001.5,1002.0,1002.5,1003.0,1003.5
3,1100.0,1100.5,1101.0,1101.5,1102.0,1102.5,1103.0,1103.5
0,1200.0,1200.5,1201.0,1201.5,1202.0,1202.5,1203.0,1203.5
1,1300.0,1300.5,1301.0,1301.5,1302.0,1302.5,1303.0,1303.5
2,1400.0,1400.5,1401.0,1401.5,1402.0,1402.5,1403.0,1403.5
3,1500.0,1500.5,1501.0,1501.5,1502.0,1502.5,1503.0,1503.5
0,1600.0,1600.5,1601.0,1601.5,1602.0,1602.5,1603.0,1603.5
1,1700.0,1700.5,1701.0,1701.5,1702.0,1702.5,1703.0,1703.5
2,1800.0,1800.5,1801.0,1801.5,1802.0,1802.5,1803.0,1803.5
3,1900.0,1900.5,1901.0,1901.5,1902.0,1902.5,1903.0,1903.5
0,2000.0,2000.5,2001.0,2001.5,2002.0,2002.5,2003.0,2003.5
1,2100.0,2100.5,2101.0,2101.5,2102.0,2102.5,2103.0,2103.5
2,2200.0,2200.5,2201.0,2201.5,2202.0,2202.5,2203.0,2203.5
3,2300.0,2300.5,2301.0,2301.5,2302.0,2302.5,2303.0,2303.5
0,2400.0,2400.5,2401.0,2401.5,2402.0,2402.5,2403.0,2403.5
1,2500.0,2500.5,2501.0,2501.5,2502.0,2502.5,2503.0,2503.5
2,2600.0,2600.5,2601.0,2601.5,2602.0,2602.5,2603.0,2603.5
3,2700.0,2700.5,2701.0,2701.5,2702.0,2702.5,2703.0,2703.5
0,2800.0,2800.5,2801.0,2801.5,2802.0,2802.5,2803.0,2803.5
1,2900.0,2900.5,2901.0,2901.5,2902.0,2902.5,2903.0,2903.5
2,3000.0,3000.5,3001.0,3001.5,3002.0,3002.5,3003.0,3003.5
3,3100.0,3100.5,3101.0,3101.5,3102.0,3102.5,3103.0,3103.5
0,3200.0,3200.5,3201.0,3201.5,3202.0,3202.5,3203.0,3203.5
1,3300.0,3300.5,3301.0,3301.5,3302.0,3302.5,3303.0,3303.5
2,3400.0,3400.5,3401.0,3401.5,3402.0,3402.5,3403.0,3403.5
3,3500.0,3500.5,3501.0,3501.5,3502.0,3502.5,3503.0,3503.5
0,3600.0,3600.5,3601.0,3601.5,3602.0,3602.5,3603.0,3603.5
